ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Dependents,Property_Area,Loan_Status
37662,90947,4839509,1,0,Semiurban,1
23392,0,5587371,0,1,Urban,0
45535,90947,1927888,1,3,Rural,1
128569,90947,2352702,1,0,Urban,1
67256,90947,6699252,1,3,Rural,1
104135,90947,3864546,0,0,Urban,0
142478,90947,3230191,0,0,Semiurban,0
50222,0,1474216,1,0,Urban,1
92373,90947,5999399,0,1,Semiurban,0
138684,90947,6734797,1,3,Semiurban,1
25965,0,4289305,1,1,Semiurban,0
39538,90947,346071,1,0,Rural,1
123066,90947,392234,1,1,Semiurban,1
128252,90947,1463378,1,1,Semiurban,1
154182,0,5078139,1,2,Urban,1
173338,0,3315432,1,1,Semiurban,1
199064,90947,2637610,1,2,Rural,1
113806,90947,5358013,1,3,Rural,1
152982,90947,2513022,1,0,Urban,1
125989,0,2531865,1,2,Urban,1
105982,90947,497098,1,0,Urban,1
136626,90947,3637287,1,1,Semiurban,1
134176,90947,4190869,1,0,Rural,1
146278,0,343369,1,0,Rural,1
137409,0,3255629,1,1,Rural,1
38419,90947,1960447,1,2,Urban,1
196708,0,5365064,0,0,Rural,0
65015,90947,4909486,1,2,Semiurban,1
137096,0,5767175,1,0,Semiurban,1
122059,90947,6493226,1,0,Semiurban,1
125687,90947,4746948,1,0,Rural,0
102939,90947,5891570,1,0,Semiurban,1
164213,0,192958,1,0,Semiurban,1
120878,90947,3775792,1,0,Urban,1
179899,90947,4125751,1,2,Semiurban,1
77623,0,6133094,1,3,Semiurban,0
90450,90947,675615,1,1,Semiurban,1
108426,0,3025310,0,0,Semiurban,0
132845,90947,3096617,1,0,Rural,1
168371,0,3716742,1,1,Urban,1
58585,90947,4846469,1,0,Semiurban,1
124225,0,5450684,1,0,Semiurban,1
79044,90947,328974,1,0,Semiurban,1
188629,90947,1834413,1,0,Semiurban,1
195152,90947,1201341,1,0,Semiurban,1
124556,90947,4137390,1,2,Rural,1
17693,90947,2514205,1,0,Urban,1
110259,0,4568736,0,0,Urban,0
40939,0,4910309,1,1,Semiurban,0
194997,0,2086194,1,0,Rural,1
189013,90947,4892277,1,1,Semiurban,1
167906,90947,171300,1,3,Urban,1
33047,90947,4830400,0,1,Urban,0
41105,90947,6163855,1,0,Semiurban,1
90766,0,2072399,1,1,Semiurban,1
161779,0,1290644,1,0,Semiurban,1
168048,90947,1433726,1,2,Urban,1
59262,90947,3936716,1,1,Urban,1
140117,90947,2545475,1,2,Rural,1
38776,0,984815,1,0,Semiurban,1
176152,90947,3750490,1,0,Urban,1
143376,90947,3949038,1,0,Rural,1
152848,0,1633230,1,1,Urban,1
107787,90947,1434937,1,0,Urban,1
142948,0,1802290,1,0,Semiurban,1
70016,90947,2737255,1,0,Semiurban,1
155546,0,5852383,1,0,Urban,1
36959,90947,6099170,1,0,Rural,1
151602,90947,4415304,1,0,Semiurban,1
134101,0,4339811,0,1,Rural,1
18748,0,2141496,0,2,Urban,0
28545,0,3388387,1,3,Urban,0
142659,0,357886,1,0,Urban,1
180838,90947,1016665,1,0,Urban,1
88530,90947,1715823,1,0,Semiurban,1
108557,0,3003036,0,0,Rural,0
76087,0,3381863,1,0,Semiurban,1
83840,0,3622314,1,2,Semiurban,1
133451,0,5517767,1,1,Semiurban,1
66005,90947,6691455,1,0,Semiurban,1
192648,0,6901236,1,0,Semiurban,1
54353,90947,3596131,1,0,Urban,1
67733,0,5347995,1,3,Semiurban,0
80318,0,4629487,1,0,Urban,0
169736,0,3358644,0,0,Urban,0
82172,0,5143273,1,1,Semiurban,0
108264,0,5154589,0,1,Rural,0
41736,90947,936922,1,3,Rural,1
127859,90947,3124973,1,1,Rural,1
127181,90947,6372553,1,0,Urban,0
146926,0,6407166,1,2,Urban,1
105084,0,3424664,1,0,Semiurban,1
184695,0,3668653,1,1,Urban,1
22392,0,4269169,1,1,Urban,1
70680,0,4033812,1,0,Urban,1
192789,90947,3249738,0,2,Semiurban,0
65859,0,6036895,1,3,Rural,0
140657,0,1745330,1,3,Urban,1
172381,90947,1736721,1,0,Urban,1
85467,90947,905174,0,0,Semiurban,0
198734,90947,4433821,0,0,Semiurban,0
113506,0,2176546,1,0,Semiurban,1
124751,90947,4849802,1,2,Semiurban,1
133906,90947,1502867,1,0,Urban,1
158760,0,6740399,1,0,Urban,1
40342,90947,812319,0,1,Urban,0
183229,90947,3339333,1,1,Urban,1
121308,90947,3763313,1,1,Rural,1
198155,90947,5781637,1,3,Semiurban,1
121081,90947,1010406,0,3,Rural,0
104045,90947,1366017,1,2,Urban,1
49698,90947,1223337,1,1,Rural,1
125078,0,2498055,1,0,Semiurban,1
95623,90947,780407,1,2,Semiurban,1
37671,90947,3880233,1,2,Semiurban,1
171256,90947,5148772,1,0,Rural,1
108384,0,2091590,1,2,Urban,1
188179,0,4041855,1,1,Urban,1
101202,90947,6976399,0,0,Urban,0
66663,0,2000924,1,0,Semiurban,1
30708,90947,4674556,1,1,Urban,1
106906,90947,3658210,1,3,Semiurban,1
64811,0,6814160,1,2,Rural,1
148883,90947,4390281,1,0,Rural,1
71250,0,3776723,1,0,Rural,1
127547,0,6922446,0,1,Rural,0
139249,90947,6717723,1,0,Semiurban,1
49754,0,6766411,1,0,Semiurban,0
157483,90947,3417627,0,1,Rural,0
148983,90947,2615548,1,0,Rural,0
154752,0,1282220,1,2,Semiurban,1
99896,90947,4945562,1,1,Urban,1
86295,0,3897521,1,0,Semiurban,1
115689,0,6424361,1,0,Rural,1
26111,0,4700075,1,0,Rural,0
52504,0,5580650,1,1,Semiurban,0
147874,90947,4102974,1,0,Semiurban,1
23155,90947,1938831,1,0,Rural,1
54384,90947,707475,1,1,Urban,0
127561,0,3928900,1,3,Rural,1
62254,90947,5690113,0,0,Semiurban,0
36918,0,2151659,1,0,Urban,1
100981,90947,5319063,1,0,Rural,1
45306,0,2344496,0,0,Urban,1
162718,90947,3229122,1,0,Semiurban,1
61843,90947,5813155,1,0,Rural,1
135975,90947,5842018,1,0,Rural,1
111601,90947,2590084,0,1,Urban,0
122512,90947,4716519,0,0,Rural,0
162443,90947,4296598,1,0,Rural,1
126472,90947,3535203,1,1,Rural,1
148121,90947,260228,1,0,Rural,1
177688,90947,2206834,1,2,Semiurban,1
118727,90947,3842315,0,1,Rural,0
127893,90947,584426,0,0,Urban,0
35932,90947,1505638,1,0,Semiurban,1
132796,0,4110925,1,3,Urban,1
44855,90947,6550010,1,0,Urban,1
189088,0,207001,1,0,Urban,1
22400,90947,1068762,1,0,Semiurban,0
132858,90947,875548,1,1,Rural,1
188714,90947,6915469,1,0,Semiurban,1
30151,0,5954129,1,1,Urban,1
197479,90947,6999535,1,0,Urban,1
81690,0,2208295,1,0,Urban,1
19499,0,403156,1,0,Semiurban,1
21295,90947,5711422,1,0,Urban,1
135885,90947,1632084,1,0,Semiurban,1
141071,90947,822150,1,0,Rural,1
74040,90947,476487,1,3,Rural,1
27183,0,4217569,1,3,Rural,0
175371,0,6624516,0,0,Rural,0
158946,90947,3027777,1,2,Semiurban,1
131336,90947,5222360,1,0,Semiurban,1
47711,90947,3414321,1,0,Rural,1
20539,90947,882711,1,1,Semiurban,1
199423,90947,4386025,0,1,Rural,0
194426,90947,2111697,1,1,Semiurban,1
141063,0,5368271,1,2,Urban,1
148629,0,3241280,1,0,Urban,1
53360,90947,4051792,1,3,Semiurban,1
148272,90947,1203623,1,0,Rural,1
193047,90947,228969,1,1,Rural,1
36357,0,3658701,1,1,Rural,0
134121,0,4793130,1,1,Rural,1
92505,0,4241618,1,0,Urban,1
17869,90947,2543537,0,1,Semiurban,0
65108,90947,5409610,1,0,Urban,1
127296,90947,4457266,0,0,Urban,0
109179,90947,1844297,1,3,Urban,1
105272,0,6334161,1,0,Semiurban,0
53467,90947,1209203,1,0,Semiurban,1
38328,0,945874,0,3,Semiurban,0
106412,90947,5302470,1,2,Urban,1
150059,0,6116577,1,1,Rural,1
73871,0,4496262,1,0,Rural,0
168471,0,6319012,1,0,Rural,1
143391,90947,1121982,1,2,Semiurban,1
192286,0,4034320,1,2,Urban,1
101416,0,2779268,1,0,Semiurban,1
85271,0,2114394,1,0,Semiurban,1
59064,90947,1556651,1,1,Urban,1
122450,0,1761190,1,3,Rural,1
186890,90947,239230,0,1,Semiurban,0
191597,0,6928109,1,0,Rural,1
34830,90947,447775,1,0,Rural,1
163501,90947,1152843,1,0,Semiurban,1
152965,90947,6776986,0,1,Rural,0
131381,90947,1516723,1,1,Urban,1
62333,0,1258583,1,1,Rural,1
149508,0,2086207,0,0,Rural,0
91213,90947,441447,1,1,Rural,1
151967,0,1726010,1,3,Semiurban,1
165810,0,5408084,0,1,Urban,0
45746,90947,5247514,1,0,Rural,1
64377,0,1919290,1,0,Urban,1
194476,0,1637652,1,0,Rural,1
69045,90947,1305780,1,0,Semiurban,1
112888,0,4367886,1,0,Rural,1
185862,90947,2976315,1,3,Urban,1
122455,0,5934411,1,2,Urban,1
151672,0,1347647,1,0,Urban,1
108179,90947,2183764,0,0,Semiurban,1
186836,0,1087460,1,0,Semiurban,1
60714,90947,1522478,1,0,Semiurban,1
117946,90947,3997213,1,2,Rural,1
124616,90947,4358321,1,0,Urban,0
120983,90947,4537260,0,1,Urban,0
139123,0,3379465,1,0,Urban,0
164661,90947,2599811,1,0,Semiurban,1
58484,90947,4997886,1,0,Urban,1
97989,90947,1632354,1,1,Urban,1
51212,0,6989960,1,1,Urban,0
58525,90947,5996351,1,0,Semiurban,1
193274,0,3820604,1,2,Urban,1
178707,90947,120048,1,0,Rural,1
78208,90947,1866064,0,1,Urban,0
48828,90947,6546471,1,2,Rural,1
164783,0,5821197,1,1,Urban,1
18420,0,6650100,0,0,Urban,0
111752,90947,3080153,1,0,Semiurban,1
146373,90947,4800637,1,3,Semiurban,1
191308,0,6429757,1,0,Semiurban,1
130294,0,1392140,1,2,Semiurban,1
139019,0,2392874,1,0,Urban,0
80726,0,5320986,1,0,Urban,1
156564,90947,3435315,1,0,Rural,1
130668,90947,3029141,1,0,Urban,1
21102,90947,3182807,1,1,Semiurban,1
196408,90947,4136979,1,0,Rural,1
133015,90947,1238563,1,0,Rural,1
41641,0,2426791,1,2,Semiurban,1
180656,90947,5382018,0,0,Rural,0
178817,0,6258731,1,0,Semiurban,1
169165,90947,2816868,1,0,Semiurban,1
118746,90947,6627407,1,0,Urban,0
197957,90947,1765331,1,0,Rural,1
51631,90947,2909342,1,0,Semiurban,1
87991,90947,5873966,0,3,Rural,0
19014,90947,2321557,1,1,Rural,1
26093,90947,2635728,1,2,Rural,1
33070,90947,1387754,1,1,Urban,1
50777,90947,3158781,1,0,Urban,1
71958,90947,4010584,1,0,Semiurban,1
97074,90947,142201,0,2,Semiurban,0
25729,0,4241890,1,0,Urban,0
191089,90947,4202307,1,0,Rural,1
173823,90947,2858921,1,0,Semiurban,1
120864,90947,3788318,1,1,Rural,1
145858,0,4676265,1,0,Semiurban,1
120510,0,4257637,1,1,Rural,1
69748,0,6068315,1,0,Rural,1
20801,90947,3481145,1,1,Urban,1
165262,0,4622296,0,2,Semiurban,0
195761,90947,2280004,1,0,Rural,1
197065,90947,3309842,1,3,Urban,1
44592,90947,6763023,1,1,Semiurban,1
25647,0,361125,1,0,Rural,1
154788,0,3047424,1,2,Rural,1
125627,90947,4955579,1,0,Urban,1
85316,0,2331227,1,0,Rural,1
17368,90947,5265129,1,0,Semiurban,1
92575,90947,6712261,1,3,Urban,1
21655,90947,1293934,1,0,Urban,1
85031,90947,6870361,1,1,Rural,1
102922,90947,1421313,1,2,Rural,1
139046,0,5612577,1,2,Rural,1
159475,90947,1978414,1,2,Semiurban,1
47097,90947,4887215,0,2,Rural,0
157038,90947,4920496,1,0,Semiurban,1
139862,90947,1364255,0,0,Semiurban,0
133834,90947,5669792,1,3,Urban,1
108848,90947,387076,1,0,Semiurban,1
67921,0,3146229,1,1,Semiurban,1
195798,90947,4982337,1,3,Semiurban,1
141141,0,3292546,1,3,Semiurban,1
196372,90947,5619926,1,1,Semiurban,1
37677,90947,1503913,1,0,Rural,1
70609,90947,4201035,1,0,Urban,1
46024,90947,1695846,1,1,Rural,0
85313,0,616206,1,2,Semiurban,1
142813,90947,6513566,1,0,Rural,1
199078,0,5561656,1,0,Semiurban,1
110285,0,3327371,1,1,Urban,1
161410,0,4089128,1,0,Semiurban,1
128632,90947,4339139,1,3,Rural,1
165580,90947,1688687,0,0,Semiurban,1
18051,0,2310611,1,0,Urban,0
194819,90947,3808389,1,1,Semiurban,1
129692,90947,2764402,1,1,Urban,1
102235,90947,1051769,1,0,Semiurban,1
178165,90947,4753770,1,1,Rural,1
185806,90947,906156,1,0,Rural,1
88523,0,2742648,1,0,Rural,1
109476,90947,909788,1,0,Urban,1
32019,0,6557955,1,2,Urban,0
98613,0,5088152,1,0,Rural,1
101672,90947,1368498,1,0,Rural,1
88847,90947,4918514,1,3,Urban,1
97750,0,6036832,1,0,Rural,0
43251,90947,4842460,1,1,Urban,1
118481,90947,1268751,1,0,Rural,1
127566,0,3991693,1,3,Semiurban,1
40945,0,4612456,1,0,Semiurban,1
105852,90947,328444,1,3,Urban,1
47217,90947,6238849,1,0,Rural,1
23308,90947,5495697,1,1,Urban,1
20949,90947,6835000,1,0,Urban,0
198062,90947,3337950,1,0,Urban,1
147222,0,3775228,1,1,Semiurban,0
115235,0,6854354,1,1,Urban,1
89740,90947,4101131,0,2,Urban,0
131352,0,3824471,1,0,Rural,1
81617,90947,6434900,1,1,Urban,1
31896,0,2354297,1,1,Urban,0
145798,90947,5795911,1,0,Semiurban,1
192247,0,2876132,1,0,Semiurban,1
153877,90947,605716,1,2,Rural,1
20237,90947,4448179,1,0,Rural,1
35056,90947,1961380,0,0,Semiurban,0
191615,90947,397643,1,1,Rural,1
129548,0,3661135,1,3,Urban,1
126488,0,751856,1,0,Rural,1
149415,90947,2796547,1,0,Rural,1
159572,90947,5375612,1,2,Rural,1
199294,90947,4302383,1,1,Semiurban,1
44375,0,2626869,0,3,Urban,0
155734,90947,1975943,1,1,Urban,1
31964,90947,3941602,1,0,Rural,1
128429,90947,273514,1,3,Urban,1
82215,0,3637005,1,0,Rural,1
84042,90947,1165047,1,2,Urban,1
159356,0,2168327,1,3,Semiurban,1
108468,90947,5202191,1,3,Rural,1
24435,0,3824193,1,0,Rural,0
190150,90947,1271477,1,2,Semiurban,1
93832,90947,4867976,0,1,Urban,0
66293,0,3501728,0,1,Semiurban,0
93781,90947,6222090,1,1,Urban,1
175196,90947,3004528,1,0,Urban,1
58919,90947,923894,1,0,Urban,1
181319,90947,659479,1,3,Urban,0
136172,0,2946441,1,1,Urban,1
109758,0,5913849,1,1,Semiurban,1
71573,90947,4029758,1,0,Rural,1
74101,90947,3635225,1,1,Rural,1
41646,0,162196,1,2,Rural,1
119185,90947,3398906,0,3,Semiurban,0
38049,90947,108316,1,0,Urban,1
113116,90947,5950714,1,1,Semiurban,1
112379,0,4324956,1,2,Rural,1
83385,90947,4650242,1,3,Rural,1
141131,0,5890368,1,0,Urban,1
186230,0,4273412,1,1,Semiurban,1
38289,0,2902221,1,1,Rural,0
125226,90947,837292,1,0,Urban,1
115793,0,4690034,1,3,Semiurban,1
24823,0,4752154,1,0,Semiurban,0
56975,0,5629480,1,0,Rural,0
24540,90947,2159195,1,0,Rural,1
31364,0,6806977,1,0,Semiurban,0
150683,90947,6109225,1,1,Rural,1
42663,90947,4860013,1,0,Semiurban,1
66991,0,4307839,1,0,Urban,1
119182,0,6608080,1,3,Urban,1
177049,90947,3668318,1,0,Urban,1
109704,90947,856523,1,0,Rural,0
64115,0,3288477,1,2,Semiurban,1
106007,90947,5725959,1,1,Urban,1
164143,90947,1686137,1,1,Semiurban,1
26938,0,3871426,1,1,Urban,0
181267,90947,2094333,0,3,Urban,0
106680,90947,702442,0,0,Semiurban,1
19000,90947,3132233,1,0,Semiurban,1
116042,90947,2095642,1,0,Rural,1
108610,0,6809551,1,0,Rural,1
118691,90947,850489,1,2,Rural,1
53304,0,5005956,1,2,Urban,0
84449,90947,6621763,1,3,Urban,1
97986,0,4547364,1,3,Rural,1
166836,0,2145759,1,0,Semiurban,1
123940,90947,665806,1,1,Urban,1
53494,0,3022176,1,1,Urban,1
18373,90947,727829,1,1,Semiurban,1
158233,0,6408239,1,0,Urban,1
112532,90947,2528519,0,0,Rural,0
107658,0,5911348,1,2,Rural,1
138633,90947,4927612,1,1,Semiurban,1
115386,90947,6564995,1,1,Urban,1
42350,90947,6101840,1,0,Semiurban,1
108008,0,821245,1,2,Urban,1
109297,0,6360136,1,0,Urban,1
40351,0,1019911,1,3,Urban,1
103668,90947,694568,1,3,Urban,1
129585,90947,2696636,1,2,Rural,1
161377,90947,6199241,1,1,Semiurban,1
90353,0,3915812,1,0,Semiurban,1
80953,90947,4378479,0,0,Semiurban,0
72458,90947,3024039,1,0,Semiurban,1
35358,0,6116438,0,0,Semiurban,0
18267,0,207055,1,0,Semiurban,1
97745,0,6505098,1,0,Semiurban,0
104588,90947,1227825,1,1,Semiurban,1
53513,90947,3160114,1,2,Rural,1
172164,0,297233,0,1,Semiurban,0
26338,0,5008125,1,0,Urban,0
146484,0,5379778,1,1,Rural,1
22543,0,5582255,1,3,Rural,0
120891,90947,3267224,1,3,Rural,0
179568,0,609768,1,0,Rural,1
75692,90947,6776991,1,0,Semiurban,1
59425,90947,2639812,1,3,Semiurban,1
53756,90947,4311745,1,0,Semiurban,1
33888,0,3157815,1,1,Semiurban,0
181807,0,973967,1,2,Semiurban,1
62295,0,2916736,1,0,Rural,1
129352,0,3519445,1,3,Urban,1
98042,90947,1001125,1,0,Urban,1
100999,90947,5936967,0,1,Rural,0
32955,0,3254673,1,0,Semiurban,0
52841,0,2038758,1,3,Urban,1
85640,90947,6644511,0,0,Semiurban,0
180983,0,6837775,1,0,Semiurban,1
153429,90947,2645198,1,3,Rural,1
178551,0,2129517,1,0,Rural,1
76476,90947,6840762,1,3,Semiurban,1
59811,0,6303709,1,0,Urban,1
182280,90947,769133,1,2,Semiurban,1
166222,90947,2198993,1,1,Urban,1
86180,0,1414304,0,1,Rural,0
189358,90947,832906,1,1,Semiurban,1
127856,90947,1466208,0,1,Semiurban,0
83450,0,296021,1,2,Semiurban,1
167424,90947,3350190,1,0,Rural,1
126888,90947,5397982,1,0,Urban,1
125448,90947,5226438,0,0,Rural,0
29397,90947,809560,0,0,Urban,0
187627,90947,4599956,1,3,Rural,1
193031,90947,5316418,0,3,Semiurban,0
146800,0,905575,1,2,Urban,1
196589,90947,407630,0,1,Rural,1
134180,90947,2699647,1,2,Urban,1
81234,90947,3455557,1,2,Urban,1
54954,0,2755570,1,0,Semiurban,1
193352,90947,5853749,1,0,Urban,1
94459,0,5894757,1,3,Semiurban,0
162851,0,1714455,1,0,Rural,1
170538,0,4406871,1,0,Semiurban,1
183011,0,6791360,1,1,Urban,1
181342,90947,1485057,1,0,Urban,1
74163,90947,2511091,1,0,Rural,1
66934,0,3225612,1,0,Semiurban,1
178379,0,5320312,1,0,Rural,1
69098,0,6108378,1,3,Urban,1
20486,90947,2068495,1,0,Urban,1
154407,90947,939793,1,0,Rural,1
101900,90947,552732,0,2,Urban,0
141020,90947,690861,1,0,Semiurban,1
117795,90947,6484148,1,2,Semiurban,1
157202,90947,5017138,1,1,Rural,1
102508,90947,6630780,1,0,Semiurban,1
133324,90947,6579412,1,0,Semiurban,1
75566,0,6757962,0,0,Semiurban,0
42192,90947,1794850,1,3,Urban,1
16062,90947,6779877,1,0,Semiurban,0
99076,90947,145092,1,0,Urban,1
104780,90947,6810738,1,3,Urban,1
167617,90947,1998152,1,0,Urban,1
36689,90947,6155953,1,1,Urban,0
26174,90947,1615091,0,2,Urban,0
103461,90947,4269455,1,0,Rural,1
141174,90947,3840973,1,0,Rural,1
118033,90947,2859317,1,0,Semiurban,1
24348,90947,2975525,1,1,Rural,1
169786,90947,770807,1,0,Urban,1
53102,90947,2538580,1,2,Rural,1
89460,90947,4234427,1,1,Rural,1
117634,0,3562490,1,0,Urban,1
104930,90947,6113965,0,0,Urban,0
21801,0,4637669,1,3,Urban,1
118150,90947,2959735,1,3,Urban,1
194208,0,4531708,1,2,Urban,1
169697,90947,237402,1,0,Rural,1
190333,90947,4303347,1,3,Semiurban,1
16542,0,5892562,1,3,Urban,0
36677,0,1474520,1,0,Rural,1
192804,90947,3813196,1,1,Rural,1
196415,90947,6430065,1,3,Rural,1
54081,90947,4009214,1,1,Semiurban,1
108105,90947,1704585,0,2,Rural,0
34065,0,1866290,1,0,Urban,1
103092,0,3335116,0,3,Urban,0
69693,90947,3455011,0,3,Semiurban,0
41962,90947,4092171,1,0,Urban,1
43295,0,5564539,1,1,Urban,0
28807,0,5642476,0,0,Semiurban,0
188420,90947,2264862,1,0,Semiurban,1
172504,0,5438043,1,0,Urban,1
186334,0,3919194,1,3,Semiurban,1
183152,0,428927,1,3,Rural,1
147396,0,6519539,1,3,Urban,1
106267,90947,6509526,1,0,Urban,0
181981,90947,360510,1,0,Semiurban,1
34870,0,1801008,1,0,Urban,1
180650,0,407384,1,3,Urban,1
41790,0,4693624,1,2,Semiurban,0
133874,90947,5022045,1,3,Rural,1
40289,90947,1470891,1,0,Urban,1
30485,90947,576274,1,3,Rural,1
59482,90947,614662,1,1,Urban,1
101188,90947,3952340,1,1,Rural,1
19748,90947,1896809,1,0,Semiurban,1
155507,90947,5709951,1,0,Urban,1
18709,90947,1469568,0,0,Semiurban,0
138961,0,6873861,1,0,Semiurban,1
45355,90947,6528581,1,0,Urban,1
159188,90947,4043351,1,3,Semiurban,1
171542,90947,5598750,1,3,Urban,1
188416,90947,885302,1,0,Rural,1
57918,90947,5986531,1,0,Urban,1
67224,90947,478108,1,1,Semiurban,1
54298,90947,2850667,1,1,Rural,1
95219,90947,1183824,0,1,Rural,0
76629,0,2410339,1,0,Rural,1
81040,90947,1895358,1,0,Semiurban,1
43016,0,6410352,1,1,Semiurban,0
38960,90947,2581143,1,0,Urban,1
48591,90947,2411903,1,0,Semiurban,0
118333,0,1338464,1,0,Semiurban,1
129821,90947,2451736,0,3,Rural,0
51395,90947,1470642,1,0,Rural,1
144695,90947,619107,1,2,Urban,1
168772,90947,6020945,0,0,Urban,0
49620,0,4785446,0,1,Urban,0
143148,90947,3146710,0,3,Rural,0
35559,90947,5170174,1,0,Semiurban,1
108396,90947,185717,1,0,Urban,0
36732,90947,3400172,1,1,Urban,1
106362,90947,3275771,1,0,Urban,1
176426,0,4433622,1,0,Urban,1
28843,0,4868497,1,0,Rural,0
129065,0,1247202,1,0,Rural,1
86726,0,922293,1,3,Urban,1
32640,0,6999671,1,3,Semiurban,0
67528,90947,6540756,1,0,Urban,1
53413,90947,6678957,1,2,Semiurban,1
67638,0,6717158,0,1,Rural,0
198808,90947,995919,1,0,Urban,1
125133,0,2215976,1,0,Rural,1
121357,0,6268511,1,0,Rural,1
165159,0,5598422,1,1,Rural,1
187502,90947,4450649,1,0,Semiurban,1
170576,90947,1076093,1,3,Rural,1
153186,0,2338964,1,0,Semiurban,1
93859,90947,3122246,1,0,Rural,1
114657,0,1282914,1,0,Urban,1
157047,0,1045411,1,3,Rural,1
26023,0,5394174,1,3,Semiurban,0
36447,0,5797901,1,0,Semiurban,0
140899,90947,6703678,1,3,Semiurban,1
38959,90947,5166031,1,2,Semiurban,1
